ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050839	cell adhesion molecule binding	49/2063	306/28407	1.46738057000565e-07	1.41559350990549e-05	9.72525648675703e-06	Nos2/Itga2/Cd177/L1cam/Itgam/Itgb5/Cd2ap/Fermt1/Igsf9/Dsg2/Fbln1/Nrg1/Cd9/Lyn/Itga1/App/Nexn/Syk/Cdh1/Cd47/Cx3cl1/Ccn1/Ctnnb1/Psen1/Cd151/Prom1/Tjp3/Src/Adam17/Ctnnd1/Ptpn2/Tspan4/Rpsa/Caml/Cxadr/Jaml/Ctnnal1/Lama5/Cd200l2/Itga5/Itga10/Cpe/Cd200l1/Lamb1/Esam/Trpc4/Cd46/P2rx4/Ptprf	49
GO:0019787	ubiquitin-like protein transferase activity	65/2063	457/28407	1.53229318531777e-07	1.41559350990549e-05	9.72525648675703e-06	Rnf125/Mkrn1/Birc3/Siah2/Rnf225/Cbx4/Trim2/Rmnd5a/Egr2/Dtx3l/Rnf152/Neurl1b/Neurl3/Trim14/Cblc/Rnf114/Kctd10/Wwp1/Mib2/Cbl/Pcgf3/Rnf38/Trim31/Trim56/Trim25/Ube2e2/Rnf214/Ube4a/Rnf139/Fbxl3/Rnf128/Trim38/Tnfaip1/Dzip3/Trim21/Wsb1/Bspry/Rnf180/Trim30a/Rnf167/Pias3/Lrsam1/Ube2h/Itch/Mdm4/Cblb/Trim40/Trim36/Rnf44/Rnf149/Rnf13/Marchf6/Dtx4/Rmnd5b/Dtx2/Rnf150/Rnf144b/Marchf8/Hectd3/Map3k1/Ube4b/Rnf217/Uhrf1/Chfr/Trim11	65
GO:0061659	ubiquitin-like protein ligase activity	55/2063	362/28407	1.57827749817936e-07	1.41559350990549e-05	9.72525648675703e-06	Rnf125/Mkrn1/Birc3/Siah2/Rnf225/Cbx4/Trim2/Rmnd5a/Egr2/Dtx3l/Rnf152/Neurl1b/Neurl3/Trim14/Cblc/Rnf114/Wwp1/Mib2/Cbl/Pcgf3/Rnf38/Trim31/Trim56/Trim25/Ube4a/Rnf139/Rnf128/Trim38/Dzip3/Trim21/Wsb1/Bspry/Rnf180/Trim30a/Rnf167/Pias3/Lrsam1/Itch/Cblb/Trim40/Rnf44/Rnf149/Rnf13/Marchf6/Dtx4/Rmnd5b/Dtx2/Rnf150/Rnf144b/Marchf8/Ube4b/Rnf217/Uhrf1/Chfr/Trim11	55
GO:0004842	ubiquitin-protein transferase activity	62/2063	431/28407	1.96525873406577e-07	1.63677977422907e-05	1.12448262904064e-05	Rnf125/Mkrn1/Birc3/Siah2/Rnf225/Trim2/Rmnd5a/Dtx3l/Rnf152/Neurl1b/Neurl3/Trim14/Cblc/Rnf114/Kctd10/Wwp1/Mib2/Cbl/Pcgf3/Rnf38/Trim31/Trim56/Trim25/Ube2e2/Rnf214/Ube4a/Rnf139/Fbxl3/Rnf128/Trim38/Tnfaip1/Dzip3/Trim21/Wsb1/Bspry/Rnf180/Trim30a/Rnf167/Lrsam1/Ube2h/Itch/Mdm4/Cblb/Trim40/Trim36/Rnf44/Rnf149/Rnf13/Marchf6/Dtx4/Rmnd5b/Dtx2/Rnf150/Rnf144b/Marchf8/Hectd3/Map3k1/Ube4b/Rnf217/Uhrf1/Chfr/Trim11	62
GO:0016874	ligase activity	32/2063	163/28407	2.14836791630832e-07	1.66679461937817e-05	1.1451031013332e-05	Acacb/Asns/Mthfd1l/Acsl1/Yars1/Acsl4/Cars1/Fpgs/Slc27a4/Cad/Trim25/Aars1/Acsl6/Mars1/Slc27a2/Vars2/Acsm3/Lipt2/Gart/Ifnar1/Itch/Lars2/ATP6/Ctps1/Nars2/Ttll7/Atp5f1e/Acsl3/Tars1/Aarsd1/Gmps/Qars1	32
GO:0004713	protein tyrosine kinase activity	28/2063	132/28407	2.28719673328051e-07	1.66679461937817e-05	1.1451031013332e-05	Erbb3/Matk/Pkm/Erbb2/Styk1/Lyn/Peak1/Insr/Hck/Ror2/Syk/Kit/Dyrk1b/Epha2/Tyk2/Src/Hipk1/Epha4/Wee1/Nrp1/Prkcd/Ddr1/Pdgfrb/Map2k3/Igf1r/Csk/Fgfrl1/Insrr	28
GO:0016755	aminoacyltransferase activity	66/2063	473/28407	2.51717517482059e-07	1.72648603167107e-05	1.18611164584426e-05	Rnf125/Mkrn1/Birc3/Siah2/Rnf225/Cbx4/Trim2/Rmnd5a/Egr2/Dtx3l/Rnf152/Neurl1b/Neurl3/Trim14/Cblc/Rnf114/Kctd10/Wwp1/Mib2/Cbl/Pcgf3/Rnf38/Trim31/Trim56/Trim25/Ube2e2/Rnf214/Ube4a/Rnf139/Fbxl3/Rnf128/Trim38/Tnfaip1/Dzip3/Trim21/Wsb1/Bspry/Rnf180/Trim30a/Rnf167/Pias3/Tgm1/Lrsam1/Ube2h/Itch/Mdm4/Cblb/Trim40/Trim36/Rnf44/Rnf149/Rnf13/Marchf6/Dtx4/Rmnd5b/Dtx2/Rnf150/Rnf144b/Marchf8/Hectd3/Map3k1/Ube4b/Rnf217/Uhrf1/Chfr/Trim11	66
GO:0004620	phospholipase activity	23/2063	96/28407	2.728115862654e-07	1.76721283103031e-05	1.2140913283507e-05	Pnliprp2/Plbd1/Gdpd1/Abhd4/Enpp2/Smpd3/Pld4/Pnpla2/Pla2g2f/Smpdl3a/Pgap6/Pnpla6/Aspg/Plcl1/Pla2g5/Liph/Enpp7/Smpdl3b/Pla2g7/Abhd3/Pla2g4c/Pla2g12b/Pla2g2d	23
GO:0015293	symporter activity	30/2063	150/28407	3.34237927579071e-07	2.05116538714314e-05	1.40916932347741e-05	Slc17a4/Slc39a4/Slc15a4/Slc1a3/Slc34a2/Slc12a6/Slc10a5/Mfsd2a/Slc28a3/Slc1a5/Slc5a6/Slc2a13/Slc39a8/Slc17a8/Slc17a5/Slc23a1/Slc18a2/Slc5a8/Slc20a1/Slc11a2/Slc38a2/Slc1a2/Slc6a7/Slc38a4/Slc16a13/Slc18a1/Slc12a8/Slc6a1/Slc1a1/Ctns	30
GO:0022853	active monoatomic ion transmembrane transporter activity	40/2063	234/28407	3.53335218211991e-07	2.05994432217591e-05	1.41520053189119e-05	Slc9a3/Slc39a4/COX2/COX1/CYTB/Slc15a4/Slc9a2/Slc1a3/Slc34a2/Slc12a6/Slc18b1/Slc10a5/Atp6v0e2/Mfsd2a/Slc28a3/Slc5a6/Slc2a13/Slc39a8/Atp13a3/Slc17a8/Atp7a/Atp2c1/Slc23a1/Slc26a3/Atp6v0a2/Slc18a2/Slc5a8/Slc20a1/Slc11a2/Atp13a2/Slc38a2/Slc1a2/Slc6a7/Slc38a4/Atp5f1e/Slc18a1/Slc12a8/Slc6a1/Slc1a1/Ctns	40
GO:0050660	flavin adenine dinucleotide binding	22/2063	91/28407	4.16383569488738e-07	2.31192020011366e-05	1.58831025754852e-05	Nos2/Cry2/Mical1/Cry1/Foxred2/Acad11/Sqle/Fmo2/D2hgdh/Maoa/Xdh/Chdh/Por/Fmo1/Acadm/Nqo2/Ilvbl/Mthfr/Prodh2/Fmo5/Acox3/Cyb5r3	22
GO:0061630	ubiquitin protein ligase activity	52/2063	345/28407	4.37584025442102e-07	2.31919533484314e-05	1.59330834144229e-05	Rnf125/Mkrn1/Birc3/Siah2/Rnf225/Trim2/Rmnd5a/Dtx3l/Rnf152/Neurl1b/Neurl3/Trim14/Cblc/Rnf114/Wwp1/Mib2/Cbl/Pcgf3/Rnf38/Trim31/Trim56/Trim25/Ube4a/Rnf139/Rnf128/Trim38/Dzip3/Trim21/Wsb1/Bspry/Rnf180/Trim30a/Rnf167/Lrsam1/Itch/Cblb/Trim40/Rnf44/Rnf149/Rnf13/Marchf6/Dtx4/Rmnd5b/Dtx2/Rnf150/Rnf144b/Marchf8/Ube4b/Rnf217/Uhrf1/Chfr/Trim11	52
GO:0015291	secondary active transmembrane transporter activity	46/2063	290/28407	4.6009924418451e-07	2.33250312486582e-05	1.6024509145282e-05	Slc17a4/Slc9a3/Slc7a5/Slc44a1/Slc39a4/Slc15a4/Slc9a2/Slc1a3/Slc34a2/Slc12a6/Slc35e2/Slc18b1/Slc10a5/Slc25a1/Mfsd2a/Slc28a3/Slc1a5/Slc5a6/Slc2a13/Slc39a8/Slc30a4/Slc17a8/Slc37a2/Slc26a2/Slc26a10/Slc17a5/Slc23a1/Slc44a4/Slc26a3/Slc25a10/Slc25a23/Slc18a2/Slc5a8/Slc20a1/Slc11a2/Slc38a2/Slc37a1/Slc1a2/Slc6a7/Slc38a4/Slc16a13/Slc18a1/Slc12a8/Slc6a1/Slc1a1/Ctns	46
GO:0005543	phospholipid binding	67/2063	492/28407	5.03596495475221e-07	2.44663964051712e-05	1.68086374147651e-05	Dab1/Vnn1/Mreg/Zfyve1/Slc9a3/Dab2ip/Deptor/Baiap3/Nr5a2/Ceacam1/Smpd3/Golph3l/Psap/Pla2g2f/Cd300lf/Atp8b1/Zfyve26/Rasa4/Esyt1/Gsdme/Nrgn/Ttpa/Pitpnm2/Ing2/Cpne2/Numa1/Sytl4/Plekhb2/Snx5/Ap2a2/Gga2/Hspa8/Tpcn1/Pla2g5/Arap2/Ankfy1/Tnfaip8l3/Vil1/Aldob/Scarb2/Syt2/Gabarapl1/Tom1/Anxa13/Atp13a2/Dok7/Gsdmc4/Wdr45/Pxk/Irgm2/Pcyt1b/Pla2g7/Gltp/Wipi1/Tpp1/Phlda2/Pla2g4c/Grb7/Rapgef2/Faah/Plek2/Alox15/Flii/Pla2g2d/Snx12/Mycbpap/Cibar1	67
GO:0003729	mRNA binding	56/2063	386/28407	5.70756006985593e-07	2.60985848215582e-05	1.79299657391043e-05	A1cf/TrnT/Gnl3/TrnS1/Pkm/Mrpl12/TrnW/Cirbp/Khnyn/Rsl1d1/Hnrnpd/TrnP/Zc3h12a/Ncl/Hsp90aa1/Rpl24/Larp4/Etf1/Rpl35/Pabpc4/Rbms1/Rpl26/Mvk/Alyref/Strap/Hnrnpu/Eif2s2/Rbm47/Tra2b/Luc7l2/Ssb/Srsf6/Cdc40/Rbm38/Syncrip/Rbfox2/TrnQ/Mex3d/Eif4a3/Arc/Rps7/Srsf4/C1qbp/Nxf1/Rps26/Gemin5/Rbmx/Khsrp/Rps5/Cpeb1/Tdrd7/Rpl13a/Khdrbs3/Mecp2/Rpl6/Srsf3	56
GO:0017124	SH3 domain binding	27/2063	130/28407	5.81958152110218e-07	2.60985848215582e-05	1.79299657391043e-05	Cyba/Cntnap1/Cd2ap/Sh3bgrl2/Mical1/Dab2ip/Noxa1/Cttnbp2/Lyn/Cblc/Inpp5j/Dpysl3/Cbl/Grik5/Adam17/Wasf2/Adam10/Evl/Fmn1/Eps15/Wipf1/Pttg1/Arhgap1/Cblb/Espn/Sh3kbp1/Khdrbs3	27
GO:0004879	nuclear receptor activity	16/2063	53/28407	6.32696870407723e-07	2.63473053891216e-05	1.81008390368525e-05	Nr1d2/Nr1d1/Nr1i3/Nr5a2/Thra/Hnf4g/Vdr/Pgr/Nr2c2/Rorc/Nr1i2/Thrb/Pparg/Nr4a3/Ppara/Nr3c1	16
GO:0098531	ligand-activated transcription factor activity	16/2063	53/28407	6.32696870407723e-07	2.63473053891216e-05	1.81008390368525e-05	Nr1d2/Nr1d1/Nr1i3/Nr5a2/Thra/Hnf4g/Vdr/Pgr/Nr2c2/Rorc/Nr1i2/Thrb/Pparg/Nr4a3/Ppara/Nr3c1	16
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	39/2063	233/28407	8.52556395133753e-07	3.42786467836537e-05	2.35497428928053e-05	Cpt1a/Cpt2/Crot/Cers6/Abhd4/Fasn/Elovl7/Pnpla2/Lclat1/Naa50/Mboat1/Zdhhc9/Agpat2/Hadha/Lpcat3/Acaa1b/Sirt1/Dlat/Aspg/Acsm3/Sat1/Ing4/Naa15/Brca2/Lipt2/Zdhhc1/Nat8f5/Hadhb/Clock/Acat2/Mboat7/Nat8f4/Ncoa3/Acnat1/Nat10/Zdhhc18/Casd1/Mogat2/Pla2g4c	39
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	29/2063	149/28407	9.41593226416335e-07	3.65965900667149e-05	2.51421910632572e-05	Akr1c19/Hsd17b11/Hsd17b6/Akr1c13/Akr1c14/Hsd17b2/Uevld/Fasn/Adh6a/Kcnab3/Adh4/Hmgcr/Akr1c12/Hadha/Me1/Impdh1/Gpd1l/Ehhadh/Hsd17b7/Rdh16/Dhrs11/Rdh7/Dhrs3/Hsd17b13/Sdr42e1/G6pdx/Grhpr/Akr1a1/Hsd3b3	29
GO:0016298	lipase activity	26/2063	127/28407	1.24776292513747e-06	4.69319861519449e-05	3.22427024118715e-05	Pnliprp2/Plbd1/Gdpd1/Abhd4/Enpp2/Smpd3/Pld4/Pnpla2/Pla2g2f/Smpdl3a/Pgap6/Pnpla6/Aspg/Plcl1/Pla2g5/Liph/Enpp7/Smpdl3b/Pla2g7/Abhd3/Lipa/Ces1e/Pla2g4c/Pla2g12b/Faah/Pla2g2d	26
GO:0016887	ATP hydrolysis activity	44/2063	283/28407	1.40907113455906e-06	5.09445050483325e-05	3.49993394798059e-05	Abcc3/Abcg8/Kif13b/Ide/Hsp90aa1/Kif19b/Atp8b1/Atp10b/Ddx39a/Tap1/Hspa5/Kif23/Kif1c/Kif2c/Rhobtb3/Myo5b/Atp13a3/Kif1b/Atp7a/Atp2c1/Hspa8/Tap2/Entpd2/Dqx1/Kif18b/Kif20a/Abcg5/Atp13a2/Atad3a/Afg2a/Rigi/Abcd3/Xrcc5/Kif3a/Kif12/Abcb6/Abce1/Atp5f1e/Kifc1/Ino80/Abcb7/Spg7/Kif19a/Abcf3	44
GO:0001217	DNA-binding transcription repressor activity	51/2063	349/28407	1.44182561457545e-06	5.09445050483325e-05	3.49993394798059e-05	Nr1d2/Nr1d1/Mxd4/Isx/Zfp46/Prdm16/Tgif2/Etv3/Ovol1/Zfp692/Peg3/Klf16/Zfp131/Foxk1/Nfatc3/Tgif1/Nfe2l1/Zkscan3/Hif1a/Rorc/Tbx3/Hes1/Bhlhe40/Zfp217/Hbp1/Zfhx3/Dach1/Cdx2/Insm1/Glis3/Zbtb10/Gfi1/Pparg/Atf7/Smad3/Zgpat/Mxi1/Cebpb/Cc2d1b/Hes6/Myc/Zbtb2/Zfp949/Zbtb24/Hoxb8/Zfp169/Ppara/Zfp790/Nr3c1/Zbtb8a/Gm45871	51
GO:0003712	transcription coregulator activity	66/2063	497/28407	1.48954027908522e-06	5.10824695709813e-05	3.50941223648251e-05	Per2/Arrb1/Calcoco1/Pkm/Parp14/Smarcd3/Prdm16/Hr/Bud31/Pprc1/Nrg1/Trim14/Zmynd8/Rrp1b/Mid2/Rcor2/Noc2l/Sub1/Sirt1/Dyrk1b/Ezh1/Trim31/Lcor/Trim25/Ctnnb1/Ppargc1a/Bcl9/Tle6/Hnrnpu/Hipk1/Arid3a/Trim38/Ncor1/Ing4/Maml1/Cited4/Btg2/Trim21/Mier3/Wdr77/Trim30a/Rbfox2/Pparg/Parp9/Mybbp1a/Pias3/Rcor1/Nfkbiz/C1qbp/Btaf1/Tle2/Ncoa3/Thrap3/Kdm2a/Trib3/Tcerg1/Fhl2/Muc1/Hdac7/Niban2/Mycbp/Uri1/Jmy/Nr3c1/Wwox/Mecp2	66
GO:0030515	snoRNA binding	12/2063	33/28407	1.75143739549806e-06	5.83478858043069e-05	4.00855295631286e-05	Nop56/Nudt4/Ddx21/Nolc1/Tbl3/Rrp9/Nufip1/Nop58/Bysl/Heatr1/Sde2/Xrcc5	12
GO:0023023	MHC protein complex binding	10/2063	23/28407	1.89644323244826e-06	6.1423689139852e-05	4.2198634499799e-05	Cd74/H2-Eb1/H2-Ab1/H2-Aa/B2m/H2-DMb1/H2-DMa/Tapbp/Cyrib/Tapbpl	10
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	54/2063	382/28407	2.01958189166949e-06	6.36441212347736e-05	4.37240915948928e-05	Bmal1/Per2/Arrb1/Cry2/Smarcd3/Cry1/Hif1an/Hr/Bud31/Egr2/Gas2l1/Dtx3l/Srf/Add1/Sirt1/Vdr/Strn/Lcor/Ctnnb1/Hif1a/Ppargc1a/Src/Atf4/Tbx3/Hes1/Bhlhe40/Ncor1/Ptpn2/Taf4b/Id2/Nr1i2/Pdcd11/Ifi27/Gabarapl1/Sp1/Fbp1/Kdm5c/Pparg/Parp9/Dnaja1/Nr4a3/Smad3/Cebpb/Wipi1/Ncoa3/Ifrd1/Hes6/Thrap3/Tcerg1/Nfkbia/Parp1/Ppara/Cnot1/Zbtb8a	54
GO:0043177	organic acid binding	38/2063	234/28407	2.49166366198528e-06	7.64547323651272e-05	5.25250982484985e-05	Nos2/Acacb/L1cam/Got1/Prr7/Hba-a1/Akr1c14/Crabp2/Hif1an/Id3/Slc1a3/Insr/Cyp4f40/Mat2a/Psap/Cad/Vdr/Aars1/Sesn1/Gsta1/Glud1/Ffar4/Sesn3/Hbb-bt/Hmgcs1/Egln3/Ddah2/Tmem175/Pparg/Cyp4f14/Gfpt1/Pck1/Grhpr/Igf2r/Rbp2/Slc1a1/Acox3/Siglecf	38
GO:0140911	pore-forming activity	13/2063	40/28407	2.81414260379391e-06	8.41356481031717e-05	5.78019573950652e-05	Defa24/Defa40/Defa35/Defa3/Defa26/Defa17/Defa34/Defa30/Defa20/Defa28/Defa32/Mpeg1/Defa5	13
GO:0031625	ubiquitin protein ligase binding	49/2063	338/28407	2.88822569057904e-06	8.4191778880379e-05	5.78405197508066e-05	Per3/H2-Ab1/Usp2/Arrb1/Erbb3/Per1/Ikbke/Erbb2/Erlin2/Bag2/Egr2/Ckb/Lyn/Clu/Fhit/Fzd5/Hsp90aa1/Ccdc50/Mc1r/Bcl2/Syk/Acvr1b/Hspa5/Kdm4a/Ctnnb1/Rhobtb3/Fau/Tmbim6/Hif1a/Ppargc1a/Rpl11/Cul9/Uba52/Ubc/Hspa8/Caml/Gabarapl1/Rpl23/Jkamp/Pink1/Rigi/Dnaja1/Smad3/Xrcc5/Trib3/Myc/Nfkbia/Parp1/Sh3kbp1	49
GO:0033764	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	14/2063	47/28407	3.77327797551788e-06	0.000107308344376923	7.3721811023597e-05	Akr1c19/Hsd17b11/Hsd17b6/Akr1c13/Akr1c14/Hsd17b2/Akr1c12/Hsd17b7/Rdh16/Dhrs11/Rdh7/Hsd17b13/Sdr42e1/Hsd3b3	14
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	49/2063	343/28407	4.38155009540099e-06	0.000121640176458037	8.3567910340856e-05	Nr1d2/Nr1d1/Mxd4/Isx/Zfp46/Prdm16/Tgif2/Etv3/Ovol1/Zfp692/Peg3/Klf16/Zfp131/Foxk1/Nfatc3/Tgif1/Nfe2l1/Zkscan3/Rorc/Tbx3/Hes1/Bhlhe40/Zfp217/Hbp1/Zfhx3/Dach1/Cdx2/Insm1/Glis3/Zbtb10/Gfi1/Pparg/Atf7/Zgpat/Mxi1/Cebpb/Cc2d1b/Hes6/Myc/Zbtb2/Zfp949/Zbtb24/Hoxb8/Zfp169/Ppara/Zfp790/Nr3c1/Zbtb8a/Gm45871	49
GO:0031406	carboxylic acid binding	35/2063	218/28407	7.89569716079529e-06	0.000214101927662496	0.000147089976483849	Nos2/Acacb/L1cam/Got1/Prr7/Akr1c14/Crabp2/Hif1an/Id3/Slc1a3/Insr/Cyp4f40/Mat2a/Psap/Cad/Vdr/Aars1/Sesn1/Gsta1/Glud1/Ffar4/Sesn3/Egln3/Ddah2/Tmem175/Pparg/Cyp4f14/Gfpt1/Pck1/Grhpr/Igf2r/Rbp2/Slc1a1/Acox3/Siglecf	35
GO:0016229	steroid dehydrogenase activity	14/2063	50/28407	8.42374328537048e-06	0.000223229197062318	0.000153360493783898	Akr1c19/Hsd17b11/Hsd17b6/Akr1c13/Akr1c14/Hsd17b2/Akr1c12/Hsd17b7/Rdh16/Dhrs11/Rdh7/Hsd17b13/Sdr42e1/Hsd3b3	14
GO:0046875	ephrin receptor binding	11/2063	32/28407	8.9094456807336e-06	0.000230853636971897	0.000158598553521363	Lyn/App/Efna3/Efna2/Cbl/Ngef/Efnb1/Src/Epha4/Aqp1/Nck1	11
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	12/2063	38/28407	9.49905367700526e-06	0.000240780360595394	0.000165418303162494	Akr1c19/ND4/Akr1c13/Akr1c14/Adh4/Akr1c12/ND1/ND3/ND2/Ndufb7/ND4L/Nqo2	12
GO:0015399	primary active transmembrane transporter activity	26/2063	142/28407	1.07258218233615e-05	0.000266091664809352	0.000182807399945759	Abcc3/ND4/Abcg2/Abcg8/COX2/COX1/CYTB/Atp6v0e2/ND1/Tap1/ND3/Atp13a3/ND2/Atp7a/Atp2c1/Tap2/Ndufb7/Atp6v0a2/ND4L/Abcg5/Atp13a2/Abcd3/Abcb6/Atp5f1e/Abcb7/Cyb561a3	26
